nohup: ignoring input
Server listening on port 9000 [RR]
Client 1 @127.0.0.1:33272 → wants 480p via TCP
[TCP] Sent & ACK chunk 2 to client 1
[TCP] Sent & ACK chunk 3 to client 1
[TCP] Sent & ACK chunk 4 to client 1
[TCP] Sent & ACK chunk 5 to client 1
[TCP] Sent & ACK chunk 6 to client 1
[TCP] Sent & ACK chunk 7 to client 1
[TCP] Sent & ACK chunk 8 to client 1
[TCP] Sent & ACK chunk 9 to client 1
[TCP] Sent & ACK chunk 10 to client 1
[TCP] Sent & ACK chunk 11 to client 1
[TCP] Sent & ACK chunk 12 to client 1
[TCP] Sent & ACK chunk 13 to client 1
[TCP] Sent & ACK chunk 14 to client 1
[TCP] Sent & ACK chunk 15 to client 1
[TCP] Sent & ACK chunk 16 to client 1
[TCP] Sent & ACK chunk 17 to client 1
[TCP] Sent & ACK chunk 18 to client 1
[TCP] Sent & ACK chunk 19 to client 1
[TCP] Sent & ACK chunk 20 to client 1
[TCP] Sent & ACK chunk 21 to client 1
[TCP] Sent & ACK chunk 22 to client 1
[TCP] Sent & ACK chunk 23 to client 1
[TCP] Sent & ACK chunk 24 to client 1
[TCP] Sent & ACK chunk 25 to client 1
[TCP] Sent & ACK chunk 26 to client 1
[TCP] Sent & ACK chunk 27 to client 1
[TCP] Sent & ACK chunk 28 to client 1
[TCP] Sent & ACK chunk 29 to client 1
[TCP] Sent & ACK chunk 30 to client 1
[TCP] Sent & ACK chunk 31 to client 1
[TCP] Sent & ACK chunk 32 to client 1
[TCP] Sent & ACK chunk 33 to client 1
[TCP] Sent & ACK chunk 34 to client 1
[TCP] Sent & ACK chunk 35 to client 1
[TCP] Sent & ACK chunk 36 to client 1
[TCP] Sent & ACK chunk 37 to client 1
[TCP] Sent & ACK chunk 38 to client 1
[TCP] Sent & ACK chunk 39 to client 1
[TCP] Sent & ACK chunk 40 to client 1
[TCP] Sent & ACK chunk 41 to client 1
[TCP] Sent & ACK chunk 42 to client 1
[TCP] Sent & ACK chunk 43 to client 1
[TCP] Sent & ACK chunk 44 to client 1
[TCP] Sent & ACK chunk 45 to client 1
[TCP] Sent & ACK chunk 46 to client 1
[TCP] Sent & ACK chunk 47 to client 1
[TCP] Sent & ACK chunk 48 to client 1
[TCP] Sent & ACK chunk 49 to client 1
Client 2 @127.0.0.1:36842 → wants 720p via TCP
[TCP] Sent & ACK chunk 2 to client 2
[TCP] Sent & ACK chunk 3 to client 2
[TCP] Sent & ACK chunk 4 to client 2
[TCP] Sent & ACK chunk 5 to client 2
[TCP] Sent & ACK chunk 6 to client 2
[TCP] Sent & ACK chunk 7 to client 2
[TCP] Sent & ACK chunk 8 to client 2
[TCP] Sent & ACK chunk 9 to client 2
[TCP] Sent & ACK chunk 10 to client 2
[TCP] Sent & ACK chunk 11 to client 2
[TCP] Sent & ACK chunk 12 to client 2
[TCP] Sent & ACK chunk 13 to client 2
[TCP] Sent & ACK chunk 14 to client 2
[TCP] Sent & ACK chunk 15 to client 2
[TCP] Sent & ACK chunk 16 to client 2
[TCP] Sent & ACK chunk 17 to client 2
[TCP] Sent & ACK chunk 18 to client 2
[TCP] Sent & ACK chunk 19 to client 2
[TCP] Sent & ACK chunk 20 to client 2
[TCP] Sent & ACK chunk 21 to client 2
[TCP] Sent & ACK chunk 22 to client 2
[TCP] Sent & ACK chunk 23 to client 2
[TCP] Sent & ACK chunk 24 to client 2
[TCP] Sent & ACK chunk 25 to client 2
[TCP] Sent & ACK chunk 26 to client 2
[TCP] Sent & ACK chunk 27 to client 2
[TCP] Sent & ACK chunk 28 to client 2
[TCP] Sent & ACK chunk 29 to client 2
[TCP] Sent & ACK chunk 30 to client 2
[TCP] Sent & ACK chunk 31 to client 2
[TCP] Sent & ACK chunk 32 to client 2
[TCP] Sent & ACK chunk 33 to client 2
[TCP] Sent & ACK chunk 34 to client 2
[TCP] Sent & ACK chunk 35 to client 2
[TCP] Sent & ACK chunk 36 to client 2
[TCP] Sent & ACK chunk 37 to client 2
[TCP] Sent & ACK chunk 38 to client 2
[TCP] Sent & ACK chunk 39 to client 2
[TCP] Sent & ACK chunk 40 to client 2
[TCP] Sent & ACK chunk 41 to client 2
[TCP] Sent & ACK chunk 42 to client 2
[TCP] Sent & ACK chunk 43 to client 2
[TCP] Sent & ACK chunk 44 to client 2
[TCP] Sent & ACK chunk 45 to client 2
[TCP] Sent & ACK chunk 46 to client 2
[TCP] Sent & ACK chunk 47 to client 2
[TCP] Sent & ACK chunk 48 to client 2
[TCP] Sent & ACK chunk 49 to client 2
[TCP] Sent & ACK chunk 50 to client 2
[TCP] Sent & ACK chunk 51 to client 2
[TCP] Sent & ACK chunk 52 to client 2
[TCP] Sent & ACK chunk 53 to client 2
[TCP] Sent & ACK chunk 54 to client 2
[TCP] Sent & ACK chunk 55 to client 2
[TCP] Sent & ACK chunk 56 to client 2
[TCP] Sent & ACK chunk 57 to client 2
[TCP] Sent & ACK chunk 58 to client 2
[TCP] Sent & ACK chunk 59 to client 2
[TCP] Sent & ACK chunk 60 to client 2
[TCP] Sent & ACK chunk 61 to client 2
[TCP] Sent & ACK chunk 62 to client 2
[TCP] Sent & ACK chunk 63 to client 2
[TCP] Sent & ACK chunk 64 to client 2
[TCP] Sent & ACK chunk 65 to client 2
[TCP] Sent & ACK chunk 66 to client 2
[TCP] Sent & ACK chunk 67 to client 2
[TCP] Sent & ACK chunk 68 to client 2
[TCP] Sent & ACK chunk 69 to client 2
[TCP] Sent & ACK chunk 70 to client 2
